X,genesymbol
22619,Nfkbia
38705,Marcks
58860,Junb
70484,Dusp1
87783,Zfp36
90767,Eif1
94210,Sqstm1
101530,Btg2
105782,Pgk1
109347,Eno1
114312,Pim1
116628,Anxa2
117768,Ldha
123027,Isg20
124135,Gapdh
127341,Aldoa
130055,Myh9
138572,Mt2a
159269,Ndrg1
171064,Clu
172783,Lgals3
174321,Actg1
177214,Ctnnb1
192126,Gusb
195493,Ezr
209662,Sptbn1
236500,Flna
270231,Ccnd2
276211,Ncor2
283405,Ncstn
293351,Ube2d3
296039,Fnta
296925,Rhoa
298343,Hdac1
300242,Fkbp1a
310824,Stat3
316727,Fas
337477,Surf1
356580,Bcap31
358485,Cetn2
359990,Usp11
365540,Rpa2
366401,Gpx4
367246,Arl6ip1
371495,Ddb1
380337,Ncl
395185,Hmgn2
396036,Xpo1
408113,Stmn1
414796,H2az1
418091,Ube2c
437179,Sod1
442263,Psen1
446888,Ifitm3
452094,Txnip
460804,Vdac2
462764,Hspb1
496102,Ubc
497191,Cox6a1
503294,Cox8a
511954,Stom
514071,Araf
520894,Aplp2
526975,Echs1
532478,Ddt
538303,Itpk1
550222,Fkbp4
556080,Xbp1
572095,Ablim1
585043,Serpina3
587392,Ptpn6
597819,Cox6c
609735,B2m
639990,Fhl1
642082,Itgb1
646551,Slc6a8
648441,Eif4a2
681732,Clta
686091,Gnas
687060,Cd63
689837,Arf1
694552,Ap3s1
695289,Gnas
696501,Cltc
700036,Rer1
701282,Tmed10
701861,Gnas
705213,Gnas
711248,Cd74
714542,Ifitm1
717934,Wars1
724291,Psme1
735247,Hla-B
740588,Hla-A
752371,Hla-Dqa1
758305,Psmb2
767590,Pfn1
776349,Ywhah
782426,Msn
792690,Arpc2
803353,Cd34
804186,Cap1
809081,Actb
838160,Lta4h
841488,Fyn
858202,Atox1
870363,Eif4a3
870958,Atf4
873437,Npm1
881594,Ywhaz
882794,Fus
884414,Eef2
886523,Rps14
888800,Eif4a1
899046,Cfl1
899379,Csnk2b
904589,Ywhab
908557,Rac1
914397,Atp5mc1
917725,Psmb5
919551,Hspd1
921793,Canx
926561,Ppia
927283,Prdx1
931362,Tcea1
941311,Nap1l1
963877,Mlh1
968076,Pabpc1
969411,Ywhaq
970136,Rpl34
971004,Rack1
972305,Apex1
974067,Eif4g2
974730,Eif4h
975323,Psmd7
976555,Trim28
977970,Kars1
978572,Hnrnpc
978973,Fbl
979554,Rps10
980069,Rplp0
980398,Hnrnpa1
981109,Rps6
982399,Erh
985018,Ssb
985772,Snrpd2
985935,Slc25a3
986990,Rpl14
987196,Cct4
987989,Rps5
988641,Hsp90ab1
991382,Rpl6
991660,Psmb3
993573,Eef1b2
993881,Rpl18
995183,Phb2
995612,Psmd8
996339,Rps3
996901,Rps2
1000240,C1qbp
1002465,Set
1012344,Lgals1
1015783,Vim
1026686,Fuca1
1027092,Copa
1027298,Mgp
1031625,Fmod
1038065,Htra1
1048735,Hpn
1073986,Dhps
1081642,Comt
1090111,Gsto1
1091610,Tmbim6
1108925,Prdx6
1110134,Hsp90aa1
1119097,Glul
1119688,S100a10
1121790,Mdh1
1127375,Atp5f1c
1128292,Cox10
1128672,Uqcrb
1133454,Cox7c
1133916,Slc25a5
1134228,Cox4i1
1136452,Ldhb
1138191,Atp5f1b
1138505,Ndufa4
1139993,Ndufv2
1140343,Atp5f1a
1140710,Atp5mc3
1141736,Cox6b1
1141972,Cox7a2
1144066,Slc25a6
1146270,Atp5pb
1148010,Atp6v1f
1152413,Atp5mc2
1154640,Cyb5r3
1156167,Uqcrh
1157667,Txn
1169885,Pgam1
1174636,Pdlim1
1178107,Ftl
1186894,Irak1
1190848,Traf4
1196623,Hint1
1201376,Cd81
1214355,Selenow
1215956,Hyal2
1240426,Nfib
1244819,Rbpms
1258987,Cast
1276776,Ackr1
1286676,Arf4
1291144,Capn2
1298043,Serpinb6
1344616,Rps3a
1346884,Rpl9p8
1347860,Rps9
1351024,Aars1
1351791,Hla-Doa
1354326,Cd3e
1355402,Rpl39
1358617,Rps19
1364072,Hla-E
1367785,Hla-Dra
1378622,Pebp1
1448148,Srp14
1450858,Pax6
1461046,Capza1
1462712,Sars1
1470069,Chi3l2
1511727,Rps8
1518589,Ybx1
1533366,Ptp4a2
1547460,Rpl11
1576796,Gnb1
1591022,H2ac18
1591283,Psmb4
1594441,Vps72
1602849,Rps27
1608160,Ssr2
1618870,Tagln2
1650788,Tpr
1678117,H3-3a
1687991,Parp1
1717286,Gdi2
1724435,Hnrnpf
1745902,Psap
1748927,Anxa11
1767476,Psd
1795939,Arhgap1
1812665,Ilk
1818891,Rpl27a
1824062,Eif3f
1829347,Polr2l
1832351,Rplp2
1838847,Eef1g
1842875,Fth1
1863427,Sf1
1881303,Sf3b2
1882644,Spcs2
1886581,Gstp1
1910438,Rps25
1937382,Arhgdib
1944448,Mlf2
1977141,Dazap2
1977727,Pfdn5
1979565,Rpl41
1984402,Rps26
1987209,Pcbp2
1989969,Naca
1996208,Naca
1997512,Dctn2
1998366,Os9
1998904,Arf3
2003949,Ctdsp2
2018478,Ndufa12
2052440,Dynll1
2065490,Rpl21
2067763,Hmgb1
2078782,Esd
2078953,Tpt1
2102274,Lamp1
2123807,Nedd8
2132816,Rps29
2133952,Rpl36al
2161360,Npc2
2169375,Psmc1
2186294,Snrpn
2227460,Rpl4
2234989,Rplp1
2247838,Rps17
2263513,Iqgap1
2274034,Maz
2274220,Eif3c
2285874,Npipb3
2288727,Rps15a
2348933,Ces2
2360661,Rpl13
2368740,Ubb
2370661,Mprip
2384437,Psmb6
2397347,Gps2
2422738,Rpl23a
2424508,Rpl19
2430090,Rpl23
2435417,Lasp1
2440031,Becn1
2449240,Rpl27
2469402,Casc3
2484031,Ddx5
2492547,Gps1
2510216,Rpl38
2540376,Rpl17
2547489,Znf91
2549165,Rps28
2564209,Uba52
2574870,Cirbp
2576646,Oaz1
2583678,Jund
2585181,Rpl18a
2589768,Rps15
2610471,Tle5
2625940,Snrnp70
2631421,Rps16
2636956,Hnrnpl
2652303,Rpl28
2659749,Capns1
2675600,Fcgrt
2676702,Rps11
2685571,Rpl13a
2688092,Tmsb10
2709012,Rps27a
2718428,Calm2
2747998,Rps7
2754218,Rpl31
2820023,Rpl37a
2826886,Aamp
2827054,Atic
2832642,Septin2
2837870,Ptma
2848279,Cst3
2853858,Dstn
2871662,Rpn2
2908092,Rps21
2916526,Son
2926167,Cstb
2931387,Pi4ka
2959372,Josd1
2973853,Chkb
2974143,Rpl3
2994694,Qars1
3008560,Rpl29
3011272,Ccr9
3024589,Rpsa
3032285,Rftn1
3039953,Rpl32
3053855,Rpl24
3107383,Dvl3
3110089,Psmd2
3115541,Rpl35a
3141368,Fam193a
3164169,Ccni
3198032,Mgst2
3204508,Morf4l2
3249497,Rps23
3327555,Hla-Dpa1
3338199,Hla-Dqb1
3341651,Clic1
3342672,Rps18
3348498,Rpl10a
3353356,Brd2
3355797,Agpat1
3358832,Ddx39b
3391695,Eef1a1
3408049,Cd164
3420321,Bclaf1
3462269,Tax1bp1
3513358,Bud31
3518174,Cops6
3562716,Kat6a
3607417,Rpl7
3615757,Ptdss1
3621712,Eif3e
3635310,Rpl8
3639535,Eef1d
3677396,Hnrnpk
3683529,Sec61b
3686682,Anp32b
3704615,Rpl35
3710323,Rpl12
3730974,Rpl7a
3737402,Mt-Rnr1
3754336,Uba1
3756390,Plp2
3778713,Tmsb4x
3783467,Nono
3798070,Rpl36a
